Loan_ID,Bank,Customer_Name,Gender,Married,Dependents,Education,Employment_Status,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term_Months,Credit_History,Property_Area,Age,Loan_Status,CIBIL_Score,Annual_Household_Income,Debt_to_Income_Ratio,Purpose_of_Loan,Existing_EMIs,Number_of_Previous_Loans,Default_History_Count,Employment_Length_Years,Business_Type,Asset_Value,Guarantor,Co-signer_Relationship,Monthly_Expense,Organization_Type,Region_Branch,Mobile_Verified,Email_Verified,Institutional_Relationships,Application_Text,Customer_Feedback,Agent_Notes,Loan_to_Annual_Income,Customer_Sentiment,Religion,State,City,PIN_Code,Aadhaar_Synthetic,Phone_Number,Email,Occupation
0,0,31,1,0,2,0,1,56976,0,8031545,360,1,2,36,0,699,683712,0.098,3,5610,0,0,1,1,744861,0,1,30391,3,4,0,1,4,154,2,4,11.747,2,2,0,5,857743,694000000000.0,9068671773,31,8
1,0,31,1,0,0,0,3,1856,0,899361,240,1,0,42,1,707,22272,4.939,1,9166,1,0,0,1,0,0,3,1856,4,2,0,1,2,67,1,1,40.381,0,2,5,15,863836,633000000000.0,9990772625,31,2
2,0,1,0,1,0,0,1,64553,0,2387748,60,1,0,38,0,641,774636,0.0,1,0,2,0,1,1,2913766,0,4,24557,2,0,1,1,0,49,3,1,3.082,2,2,4,19,834796,166000000000.0,9195085016,1,12
3,0,4,1,0,0,0,1,88450,0,658856,12,1,1,32,0,677,1061400,0.301,5,26613,1,0,3,1,3488244,0,1,36750,4,4,1,1,2,1,1,1,0.621,0,2,1,27,438590,55281832538.0,9179335548,4,11
4,0,11,1,1,3,0,2,9539,0,198671,36,0,1,35,0,594,114468,0.0,5,0,0,0,2,0,472179,0,2,3920,3,0,1,1,2,1,0,4,1.736,1,4,9,12,495224,156000000000.0,9795137116,11,14
5,0,36,1,1,1,0,1,39184,0,494949,36,1,0,24,0,682,470208,0.469,0,18373,0,0,1,1,1399683,0,4,17773,1,0,1,1,1,0,3,4,1.053,0,0,9,12,931296,124000000000.0,9827567043,36,8
6,0,18,0,1,0,1,1,81223,0,1565649,120,1,1,43,0,693,974676,0.646,1,52446,0,0,12,1,2068763,0,4,37145,1,3,1,1,0,0,2,4,1.606,2,2,4,17,617301,857000000000.0,9492424375,18,7
7,0,13,0,0,0,0,3,0,0,5879217,120,1,1,27,1,723,0,712.0,3,712,0,0,0,1,662552,0,4,0,0,2,1,1,3,136,3,2,100.0,2,2,4,17,223874,547000000000.0,9310592745,13,14
8,0,29,1,1,3,0,3,17675,0,1015184,48,0,2,30,1,593,212100,1.557,0,27513,0,0,1,1,574233,0,4,11655,2,4,1,1,3,0,1,3,4.786,2,3,0,23,142206,55257828410.0,9672752088,29,1
9,0,24,1,0,3,0,1,71409,0,128951,24,0,0,39,0,538,856908,0.0,5,0,1,0,1,1,2804582,0,1,26217,4,0,1,1,0,1,3,2,0.15,2,2,9,6,927782,493000000000.0,9406937515,24,0
10,0,32,0,1,0,1,2,25553,21419,974613,360,0,1,36,1,659,563664,0.501,3,23520,0,2,0,5,1615374,0,1,11011,2,1,1,1,1,0,1,3,1.729,0,2,3,13,39882,398000000000.0,9637599805,32,13
11,0,38,0,0,1,0,1,38126,0,846670,240,1,0,32,0,773,457512,0.591,1,22545,1,0,1,1,1253840,1,3,26516,4,2,1,1,2,66,3,4,1.851,1,2,6,16,290285,657000000000.0,9376742662,38,8
